Author 1,Author 2,Weights
Alessandra Russo,Dinesh C. Verma,1.0
Elisa Bertino,Alessandra Russo,1.0
Geeth de Mel,Alessandra Russo,1.0
Alessandra Russo,Seraphin B. Calo,1.0
Alessandro Bozzon,David M. J. Tax,1.0
Jie Yang 0028,Alessandro Bozzon,1.0
Jie Zhang 0002,Alessandro Bozzon,1.0
Manjira Sinha,Alessandro Bozzon,1.0
Alessandro Bozzon,Pradeep K. Murukannaiah,1.0
Alessandro Bozzon,Sandya Mannarswamy,1.0
Alessandro Bozzon,Tridib Mukherjee,1.0
Wenjie Pei,Alessandro Bozzon,1.0
Xiangnan He 0001,Alessandro Bozzon,1.0
Zhu Sun,Alessandro Bozzon,1.0
David Stück,Alessandro Epasto,1.0
Greg Ver Steeg,Alessandro Epasto,1.0
Haraldur Tómas Hallgrímsson,Alessandro Epasto,1.0
Alessandro Epasto,Luca Foschini,1.0
Alessandro Epasto,Morteza Zadimoghaddam,1.0
Alessandro Epasto,Renato Paes Leme,1.0
Alessandro Epasto,Sergei Vassilvitskii,1.0
Alessandro Epasto,Silvio Lattanzi,2.0
Clayton A. Davis,Alessandro Flammini,1.0
Emilio Ferrara,Alessandro Flammini,1.0
Filippo Menczer,Alessandro Flammini,1.0
Onur Varol,Alessandro Flammini,1.0
Alessandro Lulli,Davide Anguita,1.0
Alessandro Lulli,Luca Oneto,1.0
Massimo Nicosia,Alessandro Moschitti,1.0
Daniela Paolotti,Alessandro Vespignani,1.0
Daniela Perrotta,Alessandro Vespignani,1.0
Michele Tizzoni,Alessandro Vespignani,1.0
Nicola Perra,Alessandro Vespignani,1.0
Qian Zhang 0016,Alessandro Vespignani,1.0
Antonio Mazzei,Alessio Bosca,1.0
Francesco Tarasconi,Alessio Bosca,1.0
Maurizio Montagnuolo,Alessio Bosca,1.0
Michela Farina,Alessio Bosca,1.0
Nicolo Bidotti,Alessio Bosca,1.0
Paolo Platter,Alessio Bosca,1.0
Alessio Conte,Caterina Mordente,1.0
Alessio Conte,Donatella Firmani,1.0
Alessio Conte,Maurizio Patrignani,1.0
Alessio Conte,Riccardo Torlone,1.0
Alessio Signorini,David C. Kale,1.0
Luca Foschini,Alessio Signorini,1.0
Tom Quisel,Alessio Signorini,1.0
Alex Beutel,Ed Huai-hsin Chi,1.0
Alex Beutel,Hubert Pham,1.0
Alex Beutel,John R. Anderson,1.0
Alex Beutel,Zhiyuan Cheng 0002,1.0
Alex Bogatu,Alvaro A. A. Fernandes,1.0
Alex Bogatu,Cristina Civili,1.0
Alex Bogatu,Edward Abel,1.0
Alex Bogatu,John A. Keane,1.0
Alex Bogatu,Leonid Libkin,1.0
Martin Koehler,Alex Bogatu,1.0
Alex Bogatu,Nikolaos Konstantinou 0001,1.0
